Topic,Count,Name,Representation,Representative_Docs
990,19,990_bound_changes_returned_14,"['bound', 'changes', 'returned', '14', 'since', 'have', '000', 'south', 'southward', 'bail']","['14 , 000 US - bound migrants have returned south since Trump border changes , UN says', '14 , 000 US - bound migrants have returned south since Trump border changes , UN says', '14 , 000 US - bound migrants have returned south since Trump border changes , UN says']"
991,19,991_litigation_sues_honduran_ongoing,"['litigation', 'sues', 'honduran', 'ongoing', 'stop', 'group', 'legal', 'deport', 'children', 'plan']","['Legal aid group sues to stop U . S . plan to deport Honduran children amid ongoing litigation', 'Legal aid group sues to stop U . S . plan to deport Honduran children amid ongoing litigation', 'Legal aid group sues to stop U . S . plan to deport Honduran children amid ongoing litigation']"
992,19,992_restaurants_blitz_follows_raids,"['restaurants', 'blitz', 'follows', 'raids', 'targeted', 'style', 'among', 'indian', 'targets', 'spotlight']","['Indian restaurants among targets of united kingdom  blitz  against illegal migrants', 'Indian restaurants among targets of united kingdom  blitz  against illegal migrants', 'Indian restaurants among targets of united kingdom  blitz  against illegal migrants']"
993,19,993_blocking_toughen_stance_tents,"['blocking', 'toughen', 'stance', 'tents', 'demand', 'delays', 'breach', 'finally', 'continues', 'accuse']","['France may toughen stance on Israel if it continues blocking Gaza aid , Macron says', 'France may toughen stance on Israel if it continues blocking Gaza aid , Macron says', 'France may toughen stance on Israel if it continues blocking Gaza aid , Macron says']"
994,19,994_1971_shameful_liberation_sexual,"['1971', 'shameful', 'liberation', 'sexual', 'bangladesh', 'unleashed', 'record', 'convict', 'unresolved', 'joined']","['  Shameful record since 1971 : India slams Pakistan at UN over sexual violence', 'India Slams Pakistan At UN For  Shameful  Record Of Sexual Violence Since 1971', 'India Slams Pakistan At UN For  Shameful  Record Of Sexual Violence Since 1971']"
995,19,995_sneak_closer_following_strike,"['sneak', 'closer', 'following', 'strike', 'drone', 'no', 'peace', 'russia', 'ukraine', 'to']","['Ukraine , Russia no closer to peace following sneak drone strike', 'Ukraine , Russia no closer to peace following sneak drone strike', 'Ukraine , Russia no closer to peace following sneak drone strike']"
996,19,996_releases_limbo_detained_deportees,"['releases', 'limbo', 'detained', 'deportees', 'panama', 'dozens', 'into', 'holding', 'camp', 'go']","['Panama releases dozens of detained deportees from US into limbo', 'Panama releases dozens of detained deportees from US into limbo', 'Panama releases dozens of detained deportees from US into limbo']"
997,19,997_uganda_dissident_deals_lawyer,"['uganda', 'dissident', 'deals', 'lawyer', 'drops', 'dailynews', 'honduras', 'debacle', 'sejusa', 'irked']","['US strikes deportation deals with Honduras and Uganda', 'US strikes deportation deals with Honduras and Uganda', 'US strikes deportation deals with Honduras and Uganda']"
998,19,998_cuban_220a_residency_cubans,"['cuban', '220a', 'residency', 'cubans', 'pesos', 'fees', 'harrowing', 'barriers', 'never', 'account']","['Cubans Face Financial Barriers in Mexican Asylum Process :  Legal Fees Reach Up to 40 Thousand Pesos  ', 'Cuban Migrant in the U . S . with I - 220A Status :  Im Willing to Never Return to Cuba if It Means Getting My Residency  ', 'Cuban Migrant in the U . S . with I - 220A Status :  Im Willing to Never Return to Cuba if It Means Getting My Residency  ']"
999,19,999_mahmood_shabana_mist_born,"['mahmood', 'shabana', 'mist', 'born', 'changes', 'leading', 'announce', 'gall', 'unmatched', 'encnow']","['Britain Shabana Mahmood to announce  mist significant  changes to country asylum rules in years', 'Shabana Mahmood : Children born in united kingdom to refugees will be deported', 'Shabana Mahmood to make refugee status temporary']"
1000,19,1000_preferential_increasing_tourism_mous,"['preferential', 'increasing', 'tourism', 'mous', 'maritime', 'forward', '14', 'philippines', 'move', 'defence']","['India - Philippines sign 14 MoUs increasing maritime , defence , tourism cooperation ; move Preferential Trade Agreement talks forward', 'India - Philippines sign 14 MoUs increasing maritime , defence , tourism cooperation ; move Preferential Trade Agreement talks forward', 'India - Philippines sign 14 MoUs increasing maritime , defence , tourism cooperation ; move Preferential Trade Agreement talks forward']"
1001,19,1001_cleanup_poorest_orange_imperiling,"['cleanup', 'poorest', 'orange', 'imperiling', 'lifesaving', 'agent', 'question', 'accelerating', 'cuts', 'billions']","['Takeaways from the AP report on how USAID cuts are imperiling Agent Orange cleanup', 'Takeaways from the AP report on how USAID cuts are imperiling Agent Orange cleanup', 'Takeaways from the AP report on how USAID cuts are imperiling Agent Orange cleanup']"
1002,19,1002_lula_brazil_6th_advisor,"['lula', 'brazil', '6th', 'advisor', 'ajit', 'cog', 'doval', 'earth', 'vital', 'rare']","['Ajit Doval holds 6th India - Brazil Strategic Dialogue with Lula top advisor , focus on defence , energy , rare earth', 'Ajit Doval holds 6th India - Brazil Strategic Dialogue with Lula top advisor , focus on defence , energy , rare earth', 'Ajit Doval holds 6th India - Brazil Strategic Dialogue with Lula top advisor , focus on defence , energy , rare earth']"
1003,19,1003_abbas_macron_weaponized_semitism,"['abbas', 'macron', 'weaponized', 'semitism', 'sisi', 'ofthestate', 'ofpalestine', 'really', 'strengthens', 'blockade']","['France Macron to meet Palestine President Abbas', 'France Macron to meet Palestine President Abbas', 'France Macron to Meet Palestinian President Abbas']"
1004,19,1004_retreat_presents_recalibrated_steady,"['retreat', 'presents', 'recalibrated', 'steady', 'community', 'outreach', 'opportunity', 'boosts', 'editorial', 'characteristics']","['Editorial | US retreat from foreign aid highlights China steady outreach', 'US rejects claims of Indo - Pacific retreat , says aid is being recalibrated to counter China', 'US rejects claims of Indo - Pacific retreat , says aid is being recalibrated to counter China']"
1005,19,1005_aerial_biggest_threatens_tremendous,"['aerial', 'biggest', 'threatens', 'tremendous', 'slaps', 'sanctions', 'machine', 'shut', 'ridiculous', 'massive']","['Trump threatens Russia with sanctions after biggest aerial attack on Ukraine', 'Trump threatens Russia with sanctions after biggest aerial attack on Ukraine', 'Trump threatens Russia with sanctions after biggest aerial attack on Ukraine']"
1006,19,1006_spain_hosts_pressure_halt,"['spain', 'hosts', 'pressure', 'halt', 'nations', 'arab', 'assault', 'european', 'madrid', 'halting']","['Spain hosts European , Arab nations to pressure Israel to halt Gaza assault', 'Spain hosts European , Arab nations to pressure Israel to halt Gaza assault', 'Spain hosts European , Arab nations to pressure Israel to halt Gaza assault']"
1007,19,1007_upheaval_departures_staff_assistance,"['upheaval', 'departures', 'staff', 'assistance', 'freeze', 'agency', 'during', 'foreign', 'is', 'aid']","['US aid agency is in upheaval during foreign assistance freeze and staff departures', 'US aid agency is in upheaval during foreign assistance freeze and staff departures', 'US aid agency is in upheaval during foreign assistance freeze and staff departures']"
1008,19,1008_diplomasi_letiim_trkiyenin_trafii,"['diplomasi', 'letiim', 'trkiyenin', 'trafii', 'diplomasisi', 'yardmlar', 'zmnde', 'ticari', 'treninde', 'paneli']","['Ticaret Bakanı Bolat , DEİK Ticari Diplomasi Ödülleri Töreninde konuştu : ', 'İletişim Başkanlığı  ndan  Türkiyenin Çatışmaların Barışçıl zümnde Yürttüğü İnsani Diplomasi ve Yardımları  paneli', 'İletişim Başkanlığı  ndan  Türkiyenin Çatışmaların Barışçıl zümnde Yürttüğü İnsani Diplomasi ve Yardımları  paneli']"
1009,19,1009_barrage_began_missile_largest,"['barrage', 'began', 'missile', 'largest', 'kyiv', 'launches', 'since', 'drone', 'war', 'russia']","['Russia launches largest missile and drone barrage on Kyiv since war in Ukraine began', 'Russia launches largest missile and drone barrage on Kyiv since war in Ukraine began', 'Russia launches largest missile and drone barrage on Kyiv since war in Ukraine began']"
1010,19,1010_hurricane_cuba_rafael_melissa,"['hurricane', 'cuba', 'rafael', 'melissa', 'ships', 'tonnes', '46', 'regime', 'sends', 'granma']","['Turkey Sends Humanitarian Aid to Eastern Cuba Hit by Hurricane Melissa', 'India hands over 20 tonnes of humanitarian aid to Cuba for Hurricane Melissa relief', 'India hands over 20 tonnes of humanitarian aid to Cuba for Hurricane Melissa relief']"
1011,19,1011_mali_malijet_terroriste_coopration,"['mali', 'malijet', 'terroriste', 'coopration', 'gagnant', 'diop', 'detat', 'diplomatiques', '65', 'ans']","['Malijet - 65 ans de coopération Mali - Allemagne : des chiffres clés pour laide et le développement', 'Malijet - Coopération stratégique : le Mali et la Russie célèbrent 65 ans de relations diplomatiques', 'Malijet - Coopération stratégique : le Mali et la Russie célèbrent 65 ans de relations diplomatiques']"
1012,19,1012_colombo_grand_accorded_square,"['colombo', 'grand', 'accorded', 'square', 'ceremonial', 'welcome', 'plaques', 'independence', 'bharat', 'sri']","['PM Modi accorded grand ceremonial welcome at Colombo Independence Square | India News', 'Modi Sri Lanka Visit : PM Accorded Grand Ceremonial Welcome At Colombo Independence Square WATCH | India News', 'Modi Sri Lanka Visit : PM Accorded Grand Ceremonial Welcome At Colombo Independence Square WATCH | India News']"
1013,19,1013_fact_irregular_look_focus,"['fact', 'irregular', 'look', 'focus', 'europe', 'about', 'claims', 'migration', 'crusade', 'waging']","['Fact focus : A look at Trump UN claims about irregular migration in Europe', 'Fact focus : A look at Trump UN claims about irregular migration in Europe', 'Fact focus : A look at Trump UN claims about irregular migration in Europe']"
1014,19,1014_appeals_rapid_cannot_expand,"['appeals', 'rapid', 'cannot', 'expand', 'deportations', 'unquestionably', 'unconstitutional', 'court', 'rules', 'judges']","['Trump administration cannot expand rapid deportations , US appeals court rules', 'Trump administration cannot expand rapid deportations , US appeals court rules', 'Trump administration cannot expand rapid deportations , US appeals court rules']"
1015,19,1015_citing_temporarily_concerns_deporting,"['citing', 'temporarily', 'concerns', 'deporting', 'halts', 'guatemalan', 'judge', 'legal', 'children', 'facilitate']","['Judge temporarily halts the U . S . from deporting Guatemalan children , citing legal concerns', 'Judge temporarily halts the U . S . from deporting Guatemalan children , citing legal concerns', 'Judge temporarily halts the U . S . from deporting Guatemalan children , citing legal concerns']"
1016,19,1016_opposing_action_slams_netanyahu,"['opposing', 'action', 'slams', 'netanyahu', 'canada', 'military', 'france', 'pm', 'israeli', 'kingdom']","['Israeli PM Netanyahu slams united kingdom , France , Canada for opposing Israel military action in Gaza', 'Israeli PM Netanyahu slams united kingdom , France , Canada for opposing Israel military action in Gaza', 'Israeli PM Netanyahu slams united kingdom , France , Canada for opposing Israel military action in Gaza']"
1017,19,1017_immediately_begin_call_following,"['immediately', 'begin', 'call', 'following', 'cites', 'complex', 'boston', 'weather', 'start', 'sports']","['Trump says Russia - Ukraine ceasefire talks will begin immediately following call with Putin', 'Trump Says Russia - Ukraine Ceasefire Talks will Begin Immediately Following Call with Putin', 'Trump says Russia - Ukraine ceasefire talks will begin immediately following call with Putin']"
1018,19,1018_extortion_suspects_returning_bombing,"['extortion', 'suspects', 'returning', 'bombing', 'seeking', '15', 'agency', 'refugee', 'status', 'fears']","['15 extortion suspects are seeking refugee status , Canada border agency says', '15 extortion suspects are seeking refugee status , Canada border agency says', '15 extortion suspects are seeking refugee status , Canada border agency says']"
1019,19,1019_saturday_crossed_data_govt,"['saturday', 'crossed', 'data', 'govt', 'nationality', 'eritreans', 'channel', 'common', 'than', '100']","['More than 1 , 100 migrants crossed Channel on Saturday : united kingdom govt data', 'More than 1 , 100 migrants crossed Channel on Saturday : united kingdom govt data', 'More than 1 , 100 migrants crossed Channel on Saturday : united kingdom govt data']"
1020,19,1020_pope_leo_xiv_patriarchs,"['pope', 'leo', 'xiv', 'patriarchs', 'francis', 'wars', 'brokering', 'appeals', 'mediators', 'barbarity']","['Pope Leo XIV urges an end to Ukraine , Gaza wars', 'Pope Leo XIV urges an end to Ukraine , Gaza wars', 'Pope Leo XIV urges an end to Ukraine , Gaza wars']"
1021,19,1021_musulmans_pays_catastrophique_partenaires,"['musulmans', 'pays', 'catastrophique', 'partenaires', 'mobilise', 'autour', 'dix', 'turquie', 'reste', 'dobtenir']","['La Turquie mobilise ses partenaires musulmans autour de Gaza', 'La Turquie mobilise ses partenaires musulmans autour de Gaza', 'La Turquie mobilise ses partenaires musulmans autour de Gaza']"
1022,19,1022_illegale_grenzbertritte_rekordtief_mexiko,"['illegale', 'grenzbertritte', 'rekordtief', 'mexiko', 'aumentano', 'drogkarteller', 'lngst', 'gehen', 'weit', 'hybrider']","['Trump : Illegale Grenzübertritte united states - Mexiko auf Rekordtief', 'Trump : Illegale Grenzübertritte united states - Mexiko auf Rekordtief', 'Trump : Illegale Grenzübertritte united states - Mexiko auf Rekordtief']"
1023,19,1023_unterzeichnet_nuklearabkommen_orbn_neues,"['unterzeichnet', 'nuklearabkommen', 'orbn', 'neues', 'viktor', 'mit', 'orban', 'specialavsnitt', 'unkarin', 'dancing']","['Trump unterzeichnet neues Nuklearabkommen mit Orbán', 'Trump unterzeichnet neues Nuklearabkommen mit Orbán', 'Trump unterzeichnet neues Nuklearabkommen mit Orbán']"
1024,19,1024_disarm_rebuild_pushes_capture,"['disarm', 'rebuild', 'pushes', 'capture', 'cabinet', 'libya', 'planning', 'relocating', 'bangkok', 'approves']","['US pushes plan to disarm Hamas and rebuild Gaza', 'US Pushes Plan To Disarm Hamas And Rebuild Gaza', 'US Pushes Plan To Disarm Hamas And Rebuild Gaza']"
1025,19,1025_surrounded_dynamics_participated_zapad,"['surrounded', 'dynamics', 'participated', 'zapad', 'nexus', 'turkey', 'participation', 'maldives', 'explains', 'also']","['Pakistan , Nepal , Bangladesh , Maldives , and Myanmar : How Turkey has surrounded India to change regional dynamics', 'Pakistan , Nepal , Bangladesh , Maldives , and Myanmar : How Turkey has surrounded India to change regional dynamics', 'Pakistan , Nepal , Bangladesh , Maldives , and Myanmar : How Turkey has surrounded India to change regional dynamics']"
1026,19,1026_djoue_attaque_carte_runions,"['djoue', 'attaque', 'carte', 'runions', 'existentiel', 'cruciales', 'direct', 'drones', 'massive', '3morts']","['CARTE . Guerre en Ukraine : conflit  existentiel  , attaque de drones déjouée … Le point du', 'CARTE . Guerre en Ukraine : conflit  existentiel  , attaque de drones déjouée … Le point du', 'CARTE . Guerre en Ukraine : conflit  existentiel  , attaque de drones déjouée … Le point du']"
1027,19,1027_mistreated_jacinta_manner_engaging,"['mistreated', 'jacinta', 'manner', 'engaging', 'jaishankar', 'apologise', 'harjit', 'kaur', 'rajya', 'price']","['  Engaging US govt to ensure ... not mistreated in any manner : Jaishankar on deportation of Indian citizens from US', '  Engaging US govt to ensure ... not mistreated in any manner : Jaishankar on deportation of Indian citizens from US', '  Engaging US govt to ensure ... not mistreated in any manner : Jaishankar on deportation of Indian citizens from US']"
1028,19,1028_peacekeepers_bangladeshi_base_condemns,"['peacekeepers', 'bangladeshi', 'base', 'condemns', 'six', 'drone', 'killing', 'bangladesh', 'that', 'peacekeeping']","['Türkiye condemns drone attack on UN base in Sudan that killed 6 Bangladeshi peacekeepers', 'Türkiye condemns drone attack on UN base in Sudan that killed 6 Bangladeshi peacekeepers', 'Türkiye condemns drone attack on UN base in Sudan that killed 6 Bangladeshi peacekeepers']"
1029,19,1029_chile_populismo_producto_binacional,"['chile', 'populismo', 'producto', 'binacional', 'comit', 'inseguridad', 'electoral', 'chilena', 'tratarn', 'per']","['Frontera Chile - Perú : Nueva crisis migratoria producto del populismo electoral', 'Frontera Chile - Perú : Nueva crisis migratoria producto del populismo electoral', 'Frontera Chile - Perú : Nueva crisis migratoria producto del populismo electoral']"
1030,19,1030_opening_stage_give_freeze,"['opening', 'stage', 'give', 'freeze', 'an', 'could', 'foreign', 'world', 'slowly', 'china']","['Trump freeze on foreign aid could give China an opening on the world stage', 'Trump freeze on foreign aid could give China an opening on the world stage', 'Trump freeze on foreign aid could give China an opening on the world stage']"
1031,19,1031_ethnic_escalating_violence_communal,"['ethnic', 'escalating', 'violence', 'communal', 'unimaginable', 'deepening', 'voices', 'motivated', 'propels', 'ethnically']","['UN warns of deepening ethnic violence in Sudan', 'UN warns of deepening ethnic violence in Sudan', 'UN warns of deepening ethnic violence in Sudan']"
1032,19,1032_controlling_forcibly_displace_fear,"['controlling', 'forcibly', 'displace', 'fear', 'proposal', 'groups', 'allowance', 'people', 'matter', 'will']","['Groups fear Israeli proposal for controlling aid in Gaza will forcibly displace people', 'Groups fear Israeli proposal for controlling aid in Gaza will forcibly displace people', 'Groups fear Israeli proposal for controlling aid in Gaza will forcibly displace people']"
1033,19,1033_exodus_trinidad_grandparent_heartbreak,"['exodus', 'trinidad', 'grandparent', 'heartbreak', 'triggers', 'haitians', 'fear', 'scared', 'haitian', 'tobago']","['Fear of deportation triggers Venezuelan exodus from Trinidad and Tobago', 'Fear of deportation triggers Venezuelan exodus from Trinidad and Tobago', 'Fear of deportation triggers Venezuelan exodus from Trinidad and Tobago']"
1034,19,1034_dou_puteri_nucleares_borde,"['dou', 'puteri', 'nucleares', 'borde', 'colocan', 'nucleare', 'cele', 'puissances', 'dintre', 'potencias']","['Istoric al conflictului dintre India și Pakistan . De ce se luptă cele două puteri nucleare', 'Conflictul dintre India și Pakistan se agravează : Cele două puteri nucleare au avut cea mai violentă confruntare militară din ultimele două decenii', 'Conflictul dintre India și Pakistan se agravează : Cele două puteri nucleare au avut cea mai violentă confruntare militară din ultimele două decenii']"
1035,19,1035_alls_reportage_sommes_ukrainiens,"['alls', 'reportage', 'sommes', 'ukrainiens', 'rencontre', 'nous', 'ans', 'trois', 'violences', 'estim']","['Reportage . Après trois ans de guerre , nous sommes allés à la rencontre des Ukrainiens', 'Reportage . Après trois ans de guerre , nous sommes allés à la rencontre des Ukrainiens', 'Reportage . Après trois ans de guerre , nous sommes allés à la rencontre des Ukrainiens']"
1036,19,1036_pope_denounces_honour_vatican,"['pope', 'denounces', 'honour', 'vatican', 'church', 'renews', 'diplomat', 'call', 'immediate', '63']","['End conflict to honour Pope , Vatican diplomat tells South Sudan', 'End conflict to honour Pope , Vatican diplomat tells South Sudan', 'End conflict to honour Pope , Vatican diplomat tells South Sudan']"
1037,19,1037_congo_rpublique_dmocratique_kinshasa,"['congo', 'rpublique', 'dmocratique', 'kinshasa', 'bukavu', 'namibie', 'ruanda', 'bilatrales', 'ae', 'rendra']","['Conflicto en la República Democrática del Congo : Rebeldes respaldados por Ruanda invaden Bukavu , ciudad clave en el este del país', 'Le ministre chinois des AE se rendra en Namibie , en République du Congo , au Tchad et au Nigeria - Xinhua', 'Le ministre chinois des AE se rendra en Namibie , en République du Congo , au Tchad et au Nigeria']"
1038,19,1038_asean_vietnam_vietnamplus_driving,"['asean', 'vietnam', 'vietnamplus', 'driving', 'orchestral', 'performance', 'vc', 'zealand', 'lao', 'khu']","['Vietnam - a driving force in ASEAN progress : Lao FM | Vietnam+ ( VietnamPlus ) ', 'Vietnam - a driving force in ASEAN progress : Lao FM | Vietnam+ ( VietnamPlus ) ', 'Vietnam - a driving force in ASEAN progress : Lao FM | Vietnam+ ( VietnamPlus ) ']"
1039,18,1039_constructive_easy_zelenskiy_but,"['constructive', 'easy', 'zelenskiy', 'but', 'not', 'talks', 'peace', 'says', 'with', 'zelensky']","['Zelenskiy says Ukraine peace talks with US constructive but not easy', 'Zelenskiy says Ukraine peace talks with US constructive but not easy', 'Zelenskiy says Ukraine peace talks with US constructive but not easy']"
1040,18,1040_cancellations_visited_fraudulent_singled,"['cancellations', 'visited', 'fraudulent', 'singled', 'experts', 'cancellation', 'visa', 'fraud', 'confronts', 'ottawa']","['Canada considers mass visa cancellations amid rise in fraudulent applications from India , Bangladesh', 'Canada considers mass visa cancellations amid rise in fraudulent applications from India , Bangladesh', 'Canada considers mass visa cancellations amid rise in fraudulent applications from India , Bangladesh']"
1041,18,1041_ambiguous_incursion_initial_airspace,"['ambiguous', 'incursion', 'initial', 'airspace', 'offers', 'poland', 'response', 'drone', 'into', 'russian']","['Trump offers ambiguous initial response to Russian drone incursion into Poland airspace', 'Trump offers ambiguous initial response to Russian drone incursion into Poland airspace', 'Trump offers ambiguous initial response to Russian drone incursion into Poland airspace']"
1042,18,1042_hatiens_panique_clandestinit_chez,"['hatiens', 'panique', 'clandestinit', 'chez', 'gangs', 'soir', 'ou', 'unis', 'montrgie', 'groupe']","['La clandestinité , le Canada ou les gangs ? « Panique » chez les migrants haïtiens aux États - Unis', 'La clandestinité , le Canada ou les gangs ?  Panique  chez les migrants haïtiens aux Etats - Unis', 'La clandestinité , le Canada ou les gangs ?  Panique  chez les migrants haïtiens aux Etats - Unis']"
1043,18,1043_plot_assassinate_allege_ambassador,"['plot', 'assassinate', 'allege', 'ambassador', 'plotting', 'lie', 'accuse', 'executes', 'spying', 'mexico']","['Iran rejects  big lie  after US , Israel allege plot to assassinate envoy in Mexico – Firstpost', 'Iran rejects  big lie  after US , Israel allege plot to assassinate envoy in Mexico – Firstpost', 'Iran rejects  big lie  after US , Israel allege plot to assassinate envoy in Mexico – Firstpost']"
1044,18,1044_favours_used_engaged_tariffs,"['favours', 'used', 'engaged', 'tariffs', 'cambodia', 'must', 'talk', 'force', 'tariff', 'thailand']","['Thailand says tariffs must not be used to force peace with Cambodia', 'Thailand says tariffs must not be used to force peace with Cambodia', 'Thailand says tariffs must not be used to force peace with Cambodia']"
1045,18,1045_efta_switzerland_investment_goyal,"['efta', 'switzerland', 'investment', 'goyal', 'swiss', 'tepa', 'investments', 'opportunities', 'jobs', 'piyush']","['India - EFTA  Trade and Economic Partnership Agreement  brings capital , technology and jobs for India : Piyush Goyal', 'Goyal begins visit to Switzerland and Sweden to deepen trade ties , focus on India - EFTA pact', 'Goyal begins visit to Switzerland and Sweden to deepen trade ties , focus on India - EFTA pact']"
1046,18,1046_considers_flow_arms_proposal,"['considers', 'flow', 'arms', 'proposal', 'again', 'kremlin', 'ceasefire', 'as', 'us', 'ukraine']","['US arms flow to Ukraine again as Kremlin considers ceasefire proposal', 'US arms flow to Ukraine again as Kremlin considers ceasefire proposal', 'US arms flow to Ukraine again as Kremlin considers ceasefire proposal']"
1047,18,1047_kursk_chin_phn_ngy,"['kursk', 'chin', 'phn', 'ngy', '048', 'lt', '049', 'thuc', 'sverdlikovo', 'kurakhove']","['Chiến sự Ukraine 23 / 2 : Nga phản đòn ở Kursk , Kiev thừa nhận thất bại', 'Chiến sự Ukraine 20 / 2 : Nga phản đòn ở Kursk , ào ạt vượt biên giới', 'Chiến sự Ukraine 20 / 2 : Nga phản đòn ở Kursk , ào ạt vượt biên giới']"
1048,18,1048_hotel_hotels_protests_epping,"['hotel', 'hotels', 'protests', 'epping', 'spread', 'close', 'councils', 'protester', 'protes', 'furiou']","['UK asylum hotel protests spread to multiple cities', 'UK asylum hotel protests spread to multiple cities', 'Asylum hotel protests LIVE : Police brace as anti - migrant crowds target 26 asylum hotels | united kingdom | News']"
1049,18,1049_abuk_atmann_ermesini_arasndaki,"['abuk', 'atmann', 'ermesini', 'arasndaki', 'sona', 'ok', 'hindistan', 'syledi', 'umduunu', 'umuyorum']","['Trump , Hindistan ve Pakistan arasındaki çatışmanın  çok çabuk sona ermesini umduğunu  söyledi', 'Trump , Hindistan ve Pakistan arasındaki çatışmanın  çok çabuk sona ermesini umduğunu  söyledi', 'Trump , Hindistan ve Pakistan arasındaki çatışmanın  çok çabuk sona ermesini umduğunu  söyledi']"
1050,18,1050_critical_theme_minerals_emerge,"['critical', 'theme', 'minerals', 'emerge', 'chile', 'diversify', 'engagement', 'peru', 'chains', 'tense']","['US and Ukraine sign critical minerals deal', 'US and Ukraine sign critical minerals deal', 'US and Ukraine sign critical minerals deal']"
1051,18,1051_confiscate_bookstore_books_raid,"['confiscate', 'bookstore', 'books', 'raid', 'police', 'jerusalem', 'about', 'east', 'palestinian', 'conflict']","['Israeli police raid Palestinian bookstore in east Jerusalem and confiscate books about the conflict', 'Israeli police raid Palestinian bookstore in east Jerusalem and confiscate books about the conflict', 'Israeli police raid Palestinian bookstore in east Jerusalem and confiscate books about the conflict']"
1052,18,1052_answered_red_icrc_medical,"['answered', 'red', 'icrc', 'medical', 'memoranda', 'cross', 'questions', 'norway', 'participates', 'committee']","['Russia – Ukraine international armed conflict : Your questions answered about the ICRC work | International Committee of the Red Cross', 'Russia – Ukraine international armed conflict : Your questions answered about the ICRC work | International Committee of the Red Cross', 'Russia – Ukraine international armed conflict : Your questions answered about the ICRC work | International Committee of the Red Cross']"
1053,18,1053_arabien_gastgeber_bereit_friedensverhandlungen,"['arabien', 'gastgeber', 'bereit', 'friedensverhandlungen', 'wni', 'als', '152', 'dari', 'dideportasi', 'kemenlu']","['Saudi - Arabien als Gastgeber für Ukraine - Friedensverhandlungen bereit', 'Saudi - Arabien als Gastgeber für Ukraine - Friedensverhandlungen bereit', 'Saudi - Arabien als Gastgeber für Ukraine - Friedensverhandlungen bereit']"
1054,18,1054_guerrilleros_inici_ofensivas_operaciones,"['guerrilleros', 'inici', 'ofensivas', 'operaciones', 'guerrillero', 'militar', 'inicia', 'reuna', 'ofensiva', 'sol']","['Colombia inició ofensiva militar contra guerrilleros en frontera con Venezuela', 'Colombia inició ofensiva militar contra guerrilleros en frontera con Venezuela', 'Colombia inició ofensiva militar contra guerrilleros en frontera con Venezuela']"
1055,18,1055_70_hospital_darfur_region,"['70', 'hospital', 'darfur', 'region', 'nbc', 'people', 'some', 'around', 'killed', 'unas']","['Some 70 people killed in attack on hospital in Sudan Darfur region', 'Some 70 people killed in attack on hospital in Sudan Darfur region', 'Some 70 people killed in attack on hospital in Sudan Darfur region']"
1056,18,1056_profound_lay_rifts_bare,"['profound', 'lay', 'rifts', 'bare', 'letters', 'protest', 'ex', 'soldiers', 'israeli', 'over']","['Protest letters from ex - Israeli soldiers lay bare profound rifts over Gaza war', 'Protest letters from ex - Israeli soldiers lay bare profound rifts over Gaza war', 'Protest letters from ex - Israeli soldiers lay bare profound rifts over Gaza war']"
1057,18,1057_prabowo_dhankhar_subianto_indonesian,"['prabowo', 'dhankhar', 'subianto', 'indonesian', 'indonesia', 'collaborations', 'bakrie', 'jagdeep', 'anindya', 'independence']","['  India was among the first to support our independence : Indonesian President Prabowo Subianto', '  India was among the first to support our independence : Indonesian President Prabowo Subianto', '  India was among the first to support our independence : Indonesian President Prabowo Subianto']"
1058,18,1058_alista_nicaragenses_milln_hnews,"['alista', 'nicaragenses', 'milln', 'hnews', 'masiva', 'cubanos', 'parole', 'haitianos', 'medio', 'sin']","['Estados Unidos alista deportación masiva : más de medio millón de cubanos , venezolanos , nicaragüenses y haitianos sin  parole  | hnews | Mundo', 'Estados Unidos alista deportación masiva : más de medio millón de cubanos , venezolanos , nicaragüenses y haitianos sin  parole  | hnews | Mundo', 'Estados Unidos alista deportación masiva : más de medio millón de cubanos , venezolanos , nicaragüenses y haitianos sin  parole  | hnews | Mundo']"
1059,18,1059_decisions_halts_sparks_guard,"['decisions', 'halts', 'sparks', 'guard', 'troop', 'shooting', 'national', 'wake', 'all', 'validity']","['US halts all asylum decisions after shooting of National Guard members', 'US halts all asylum claim decisions after National Guard shooting', 'US halts all asylum claim decisions after National Guard shooting']"
1060,18,1060_best_way_tighter_control,"['best', 'way', 'tighter', 'control', 'escalate', 'gives', 'plan', 'end', 'proposes', 'pm']","['Israel PM says new plan for Gaza  best way to end the war  ', 'Israel PM says new plan for Gaza  best way to end the war  ', 'Israel PM says new plan for Gaza  best way to end the war  ']"
1061,18,1061_trkiye_symbols_conscience_botswana,"['trkiye', 'symbols', 'conscience', 'botswana', 'emerges', 'diplomacy', 'coop', 'erdogan', 'mediator', 'turmoil']","['Today . Az - Türkiye emerges as global mediator under Erdo ? an assertive diplomacy', 'Turkish President Erdogan urges Türkiye and Japan to be world united conscience amid global turmoil', 'Turkish President Erdogan urges Türkiye and Japan to be world united conscience amid global turmoil']"
1062,18,1062_creates_zone_along_usmca,"['creates', 'zone', 'along', 'usmca', 'shoring', 'mexico', 'deter', 'military', 'shaky', 'militarized']","['US military creates new military zone along border with Mexico', 'US military creates new military zone along border with Mexico', 'US military creates new military zone along border with Mexico']"
